species,regime,gene_count_c-type
Abscondita_terminalis,Coleoptera,2
Achroia_grisella,Lepidoptera,5
Aedes_aegypti,Diptera,6
Aedes_albopictus,Diptera,8
Aethina_tumida,Coleoptera,6
Agrilus_planipennis,Coleoptera,3
Amyelois_transitella,Lepidoptera,3
Anabrus_simplex,Orthoptera,3
Anastrepha_ludens,Diptera,12
Anastrepha_obliqua,Diptera,11
Anopheles_albimanus,Diptera,3
Anopheles_aquasalis,Diptera,3
Anopheles_arabiensis,Diptera,7
Anopheles_bellator,Diptera,2
Anopheles_coluzzii,Diptera,6
Anopheles_coustani,Diptera,3
Anopheles_cruzii,Diptera,3
Anopheles_darlingi,Diptera,4
Anopheles_funestus,Diptera,5
Anopheles_gambiae,Diptera,7
Anopheles_maculipalpis,Diptera,7
Anopheles_merus,Diptera,4
Anopheles_moucheti,Diptera,5
Anopheles_nili,Diptera,3
Anopheles_stephensi,Diptera,5
Anopheles_ziemanni,Diptera,3
Anoplophora_glabripennis,Coleoptera,6
Anthonomus_grandis_grandis,Coleoptera,6
Apolygus_lucorum,Orthoptera,2
Arctia_plantaginis,Lepidoptera,7
Aricia_agestis,Lepidoptera,4
Armigeres_subalbatus,Diptera,9
Athalia_rosae,Hymenoptera,3
Bacillus_rossius_redtenbacheri,Phasmatodea,3
Bactrocera_dorsalis,Diptera,15
Bactrocera_latifrons,Diptera,15
Bactrocera_tryoni,Diptera,16
Bemisia_tabaci,Hemiptera,2
Bicyclus_anynana,Lepidoptera,2
Blattella_germanica,Blattodea,5
Bombyx_mandarina,Lepidoptera,1
Bombyx_mori,Lepidoptera,3
Bradysia_coprophila,Diptera,2
Brassicogethes_aeneus,Coleoptera,3
Brenthis_ino,Lepidoptera,3
Calliphora_vicina,Diptera,24
Cephus_cinctus,Hymenoptera,1
Ceratitis_capitata,Diptera,13
Chelonus_insularis,Hymenoptera,1
Chilo_suppressalis,Lepidoptera,7
Chrysoperla_carnea,Neuroptera,11
Cimex_lectularius,Hemiptera,2
Cloeon_dipterum,Ephemeroptera,1
Clunio_marinus,Diptera,5
Coccinella_septempunctata,Coleoptera,7
Colias_croceus,Lepidoptera,3
Condylostylus_longicornis,Diptera,5
Contarinia_nasturtii,Diptera,3
Coptotermes_formosanus,Blattodea,3
Cryptotermes_secundus,Blattodea,9
Culex_pipiens_pallens,Diptera,3
Culex_quinquefasciatus,Diptera,3
Culicoides_brevitarsis,Diptera,1
Cydia_pomonella,Lepidoptera,5
Cydia_splendana,Lepidoptera,4
Cylas_formicarius,Coleoptera,4
Dalotia_coriaria,Coleoptera,4
Danaus_plexippus,Lepidoptera,2
Dendroctonus_ponderosae,Coleoptera,2
Diabrotica_virgifera_virgifera,Coleoptera,6
Diorhabda_sublineata,Coleoptera,4
Diprion_similis,Hymenoptera,2
Drosophila_albomicans,Diptera,12
Drosophila_ananassae,Diptera,14
Drosophila_arizonae,Diptera,12
Drosophila_biarmipes,Diptera,13
Drosophila_bipectinata,Diptera,14
Drosophila_elegans,Diptera,10
Drosophila_erecta,Diptera,12
Drosophila_eugracilis,Diptera,14
Drosophila_ficusphila,Diptera,12
Drosophila_grimshawi,Diptera,11
Drosophila_guanche,Diptera,13
Drosophila_hydei,Diptera,18
Drosophila_kikkawai,Diptera,23
Drosophila_mauritiana,Diptera,12
Drosophila_melanogaster,Diptera,11
Drosophila_miranda,Diptera,19
Drosophila_mojavensis,Diptera,13
Drosophila_montana,Diptera,12
Drosophila_nasuta,Diptera,11
Drosophila_navojoa,Diptera,12
Drosophila_novamexicana,Diptera,13
Drosophila_obscura,Diptera,12
Drosophila_persimilis,Diptera,16
Drosophila_pseudoobscura,Diptera,14
Drosophila_rhopaloa,Diptera,15
Drosophila_sechellia,Diptera,10
Drosophila_serrata,Diptera,16
Drosophila_simulans,Diptera,13
Drosophila_subobscura,Diptera,13
Drosophila_subpulchrella,Diptera,12
Drosophila_sulfurigaster_albostrigata,Diptera,13
Drosophila_suzukii,Diptera,12
Drosophila_takahashii,Diptera,18
Drosophila_teissieri,Diptera,13
Drosophila_virilis,Diptera,16
Drosophila_yakuba,Diptera,12
