species,regime,gene_count_i-type
Abscondita_terminalis,Coleoptera,5
Achroia_grisella,Lepidoptera,4
Acromyrmex_echinatior,Hymenoptera,3
Acyrthosiphon_pisum,Hemiptera,3
Adelges_cooleyi,Hemiptera,4
Aedes_aegypti,Diptera,2
Aedes_albopictus,Diptera,2
Aethina_tumida,Coleoptera,8
Agrilus_planipennis,Coleoptera,2
Ampulex_compressa,Hymenoptera,1
Amyelois_transitella,Lepidoptera,3
Anabrus_simplex,Orthoptera,8
Anastrepha_ludens,Diptera,2
Anastrepha_obliqua,Diptera,2
Anopheles_albimanus,Diptera,3
Anopheles_aquasalis,Diptera,2
Anopheles_arabiensis,Diptera,2
Anopheles_bellator,Diptera,1
Anopheles_coluzzii,Diptera,2
Anopheles_coustani,Diptera,2
Anopheles_cruzii,Diptera,2
Anopheles_darlingi,Diptera,2
Anopheles_funestus,Diptera,2
Anopheles_gambiae,Diptera,2
Anopheles_maculipalpis,Diptera,3
Anopheles_merus,Diptera,2
Anopheles_moucheti,Diptera,2
Anopheles_nili,Diptera,3
Anopheles_stephensi,Diptera,3
Anopheles_ziemanni,Diptera,2
Anoplophora_glabripennis,Coleoptera,3
Anthonomus_grandis_grandis,Coleoptera,1
Aphidius_gifuensis,Hymenoptera,2
Aphis_craccivora,Hemiptera,3
Aphis_gossypii,Hemiptera,4
Apis_cerana,Hymenoptera,1
Apis_dorsata,Hymenoptera,1
Apis_florea,Hymenoptera,1
Apis_laboriosa,Hymenoptera,1
Apis_mellifera,Hymenoptera,1
Apolygus_lucorum,Orthoptera,1
Arctia_plantaginis,Lepidoptera,4
Aricia_agestis,Lepidoptera,5
Armigeres_subalbatus,Diptera,2
Athalia_rosae,Hymenoptera,1
Atta_cephalotes,Hymenoptera,3
Atta_colombica,Hymenoptera,3
Bacillus_rossius_redtenbacheri,Phasmatodea,6
Bactrocera_dorsalis,Diptera,2
Bactrocera_latifrons,Diptera,2
Bactrocera_tryoni,Diptera,2
Belonocnema_kinseyi,Hymenoptera,2
Bemisia_tabaci,Hemiptera,3
Bicyclus_anynana,Lepidoptera,2
Blattella_germanica,Blattodea,5
Bombus_affinis,Hymenoptera,1
Bombus_terrestris,Hymenoptera,1
Bombyx_mandarina,Lepidoptera,3
Bombyx_mori,Lepidoptera,3
Bradysia_coprophila,Diptera,3
Brassicogethes_aeneus,Coleoptera,7
Brenthis_ino,Lepidoptera,3
Calliphora_vicina,Diptera,3
Camponotus_floridanus,Hymenoptera,1
Cataglyphis_hispanica,Hymenoptera,2
Cephus_cinctus,Hymenoptera,1
Ceratina_calcarata,Hymenoptera,1
Ceratitis_capitata,Diptera,2
Ceratosolen_solmsi_marchali,Hymenoptera,1
Chelonus_insularis,Hymenoptera,1
Chilo_suppressalis,Lepidoptera,6
Chrysoperla_carnea,Neuroptera,1
Cimex_lectularius,Hemiptera,4
Cloeon_dipterum,Ephemeroptera,2
Clunio_marinus,Diptera,1
Coccinella_septempunctata,Coleoptera,5
Colias_croceus,Lepidoptera,3
Colletes_gigas,Hymenoptera,1
Condylostylus_longicornis,Diptera,5
Contarinia_nasturtii,Diptera,1
Copidosoma_floridanum,Hymenoptera,2
Coptotermes_formosanus,Blattodea,3
Cotesia_glomerata,Hymenoptera,4
Cryptotermes_secundus,Blattodea,6
Culex_pipiens_pallens,Diptera,2
Culex_quinquefasciatus,Diptera,3
Culicoides_brevitarsis,Diptera,2
Cydia_pomonella,Lepidoptera,3
Cydia_splendana,Lepidoptera,3
Cylas_formicarius,Coleoptera,3
Cyphomyrmex_costatus,Hymenoptera,2
Daktulosphaira_vitifoliae,Hemiptera,4
Dalotia_coriaria,Coleoptera,2
Danaus_plexippus,Lepidoptera,8
Dendroctonus_ponderosae,Coleoptera,1
Diabrotica_virgifera_virgifera,Coleoptera,3
Diachasma_alloeum,Hymenoptera,2
Diachasmimorpha_longicaudata,Hymenoptera,2
Dinoponera_quadriceps,Hymenoptera,1
Diorhabda_carinulata,Coleoptera,2
Diorhabda_sublineata,Coleoptera,4
Diprion_similis,Hymenoptera,1
Drosophila_albomicans,Diptera,6
Drosophila_ananassae,Diptera,5
Drosophila_arizonae,Diptera,1
Drosophila_biarmipes,Diptera,5
Drosophila_bipectinata,Diptera,6
Drosophila_elegans,Diptera,4
Drosophila_erecta,Diptera,6
Drosophila_eugracilis,Diptera,5
Drosophila_ficusphila,Diptera,4
Drosophila_grimshawi,Diptera,5
Drosophila_guanche,Diptera,6
Drosophila_hydei,Diptera,4
Drosophila_kikkawai,Diptera,5
Drosophila_mauritiana,Diptera,5
Drosophila_melanogaster,Diptera,5
Drosophila_miranda,Diptera,9
Drosophila_mojavensis,Diptera,5
Drosophila_montana,Diptera,7
Drosophila_nasuta,Diptera,6
Drosophila_navojoa,Diptera,4
Drosophila_novamexicana,Diptera,6
Drosophila_obscura,Diptera,5
Drosophila_persimilis,Diptera,5
Drosophila_pseudoobscura,Diptera,5
Drosophila_rhopaloa,Diptera,5
Drosophila_sechellia,Diptera,5
Drosophila_serrata,Diptera,5
Drosophila_simulans,Diptera,5
Drosophila_subobscura,Diptera,5
Drosophila_subpulchrella,Diptera,4
Drosophila_sulfurigaster_albostrigata,Diptera,6
Drosophila_suzukii,Diptera,4
Drosophila_takahashii,Diptera,5
Drosophila_teissieri,Diptera,5
Drosophila_virilis,Diptera,6
Drosophila_yakuba,Diptera,5
Dufourea_novaeangliae,Hymenoptera,1
Eciton_burchellii,Hymenoptera,1
Episyrphus_balteatus,Diptera,8
Eriocheir_sinensis,Crustacea,4
Eufriesea_mexicana,Hymenoptera,1
Eupeodes_corollae,Diptera,4
Folsomia_candida,Collembola,4
Fopius_arisanus,Hymenoptera,1
Formica_exsecta,Hymenoptera,3
Frankliniella_occidentalis,Thysanoptera,6
Frieseomelitta_varia,Hymenoptera,3
Galleria_mellonella,Lepidoptera,6
Glossina_fuscipes,Diptera,3
Gonioctena_quinquepunctata,Coleoptera,2
Gryllus_longicercus,Orthoptera,4
Halyomorpha_halys,Hemiptera,2
Harmonia_axyridis,Coleoptera,6
Harpegnathos_saltator,Hymenoptera,1
Helicoverpa_armigera,Lepidoptera,3
Helicoverpa_zea,Lepidoptera,3
Hermetia_illucens,Diptera,1
Hetaerina_americana,Odonata,2
Homalodisca_vitripennis,Hemiptera,8
Hylaeus_anthracinus,Hymenoptera,1
Hylaeus_volcanicus,Hymenoptera,1
Hyposmocoma_kahamanoa,Lepidoptera,5
Ignelater_luminosus,Coleoptera,6
Ischnura_elegans,Odonata,3
Lamprigera_yunnana,Coleoptera,7
Laodelphax_striatellus,Hemiptera,9
Leguminivora_glycinivorella,Lepidoptera,4
Leptidea_sinapis,Lepidoptera,2
Leptinotarsa_decemlineata,Coleoptera,2
Leptopilina_boulardi,Hymenoptera,1
Leptopilina_heterotoma,Hymenoptera,1
Linepithema_humile,Hymenoptera,1
Lucilia_cuprina,Diptera,2
Lucilia_sericata,Diptera,3
Lutzomyia_longipalpis,Diptera,1
Malaya_genurostris,Diptera,2
Manduca_sexta,Lepidoptera,5
Maniola_hyperantus,Lepidoptera,3
Maniola_jurtina,Lepidoptera,4
Megachile_rotundata,Hymenoptera,1
Megalopta_genalis,Hymenoptera,1
Melanaphis_sacchari,Hemiptera,3
Melipona_quadrifasciata,Hymenoptera,1
Melitaea_cinxia,Lepidoptera,3
Microplitis_demolitor,Hymenoptera,1
Microplitis_mediator,Hymenoptera,1
Monomorium_pharaonis,Hymenoptera,3
Musca_domestica,Diptera,4
Musca_vetustissima,Diptera,3
Myzus_persicae,Hemiptera,3
Nasonia_vitripennis,Hymenoptera,1
Neocloeon_triangulifer,Ephemeroptera,4
Neodiprion_fabricii,Hymenoptera,1
Neodiprion_lecontei,Hymenoptera,1
Neodiprion_pinetum,Hymenoptera,1
Neodiprion_virginianus,Hymenoptera,1
Nicrophorus_vespilloides,Coleoptera,4
Nilaparvata_lugens,Hemiptera,15
Nomia_melanderi,Hymenoptera,6
Nylanderia_fulva,Hymenoptera,4
Nymphalis_io,Lepidoptera,3
Ochlerotatus_camptorhynchus,Diptera,3
Odontomachus_brunneus,Hymenoptera,3
Onthophagus_taurus,Coleoptera,3
Ooceraea_biroi,Hymenoptera,3
Orussus_abietinus,Hymenoptera,5
Osmia_bicornis_bicornis,Hymenoptera,2
Osmia_lignaria,Hymenoptera,8
Ostrinia_furnacalis,Lepidoptera,8
Ostrinia_nubilalis,Lepidoptera,6
Papilio_machaon,Lepidoptera,14
Papilio_polytes,Lepidoptera,2
Papilio_xuthus,Lepidoptera,2
Pararge_aegeria,Lepidoptera,3
Parnassius_apollo,Lepidoptera,8
Pectinophora_gossypiella,Lepidoptera,11
Pediculus_humanus_corporis,Phthiraptera,8
Periplaneta_americana,Blattodea,2
Phlebotomus_argentipes,Diptera,2
Phlebotomus_papatasi,Diptera,3
