species,food_source,gene_count
Blattella_germanica,Detritivore,5
Coptotermes_formosanus,Plants,3
Cryptotermes_secundus,Plants,9
Periplaneta_americana,Detritivore,8
Zootermopsis_nevadensis,Plants,4
Abscondita_terminalis,Invertebrates,2
Aethina_tumida,Invertebrates,6
Agrilus_planipennis,Plants,3
Anoplophora_glabripennis,Plants,6
Anthonomus_grandis_grandis,Plants,6
Brassicogethes_aeneus,Plants,3
Coccinella_septempunctata,Invertebrates,7
Cylas_formicarius,Plants,4
Dalotia_coriaria,Invertebrates,4
Dendroctonus_ponderosae,Plants,2
Diabrotica_virgifera_virgifera,Plants,6
Diorhabda_sublineata,Plants,4
Gonioctena_quinquepunctata,Plants,2
Harmonia_axyridis,Invertebrates,5
Lamprigera_yunnana,Invertebrates,1
Leptinotarsa_decemlineata,Plants,2
Nicrophorus_vespilloides,Detritivore,8
Onthophagus_taurus,Detritivore,6
Photinus_pyralis,Invertebrates,1
Rhynchophorus_ferrugineus,Plants,5
Sitophilus_oryzae,Plants,1
Tenebrio_molitor,Omnivore,2
Tribolium_castaneum,Omnivore,4
Tribolium_madens,Omnivore,1
Zophobas_morio,Omnivore,4
Ignelater_luminosus,Invertebrates,0
Diorhabda_carinulata,Plants,0
Folsomia_candida,Omnivore,3
Procambarus_clarkii,Omnivore,8
Scylla_paramamosain,Detritivore,2
Eriocheir_sinensis,Detritivore,0
Aedes_aegypti,Blood,6
Aedes_albopictus,Blood,8
Anastrepha_ludens,Plants,12
Anastrepha_obliqua,Plants,11
Anopheles_albimanus,Blood,3
Anopheles_aquasalis,Blood,3
Anopheles_arabiensis,Blood,7
Anopheles_bellator,Blood,2
Anopheles_coluzzii,Blood,6
Anopheles_coustani,Blood,3
Anopheles_cruzii,Blood,3
Anopheles_darlingi,Blood,4
Anopheles_funestus,Blood,5
Anopheles_gambiae,Blood,7
Anopheles_maculipalpis,Blood,7
Anopheles_merus,Blood,4
Anopheles_moucheti,Blood,5
Anopheles_nili,Blood,3
Anopheles_stephensi,Blood,5
Anopheles_ziemanni,Blood,3
Armigeres_subalbatus,Blood,9
Bactrocera_dorsalis,Plants,15
Bactrocera_latifrons,Plants,15
Bactrocera_tryoni,Plants,16
Bradysia_coprophila,Detritivore,2
Calliphora_vicina,Detritivore,24
Ceratitis_capitata,Plants,13
Clunio_marinus,Omnivore,5
Condylostylus_longicornis,Invertebrates,5
Contarinia_nasturtii,Plants,3
Culex_pipiens_pallens,Blood,3
Culex_quinquefasciatus,Blood,3
Culicoides_brevitarsis,Blood,1
Drosophila_albomicans,Detritivore,12
Drosophila_ananassae,Detritivore,14
Drosophila_arizonae,Detritivore,12
Drosophila_biarmipes,Plants,13
Drosophila_bipectinata,Detritivore,14
Drosophila_elegans,Plants,10
Drosophila_erecta,Plants,12
Drosophila_eugracilis,Plants,14
Drosophila_ficusphila,Plants,12
Drosophila_grimshawi,Detritivore,11
Drosophila_guanche,Detritivore,13
Drosophila_hydei,Detritivore,18
Drosophila_kikkawai,Detritivore,23
Drosophila_mauritiana,Plants,12
Drosophila_melanogaster,Detritivore,11
Drosophila_miranda,Detritivore,19
Drosophila_mojavensis,Detritivore,13
Drosophila_montana,Detritivore,12
Drosophila_nasuta,Detritivore,11
Drosophila_navojoa,Detritivore,12
Drosophila_novamexicana,Detritivore,13
Drosophila_obscura,Detritivore,12
Drosophila_persimilis,Detritivore,16
Drosophila_pseudoobscura,Detritivore,14
Drosophila_rhopaloa,Plants,15
Drosophila_sechellia,Plants,10
Drosophila_serrata,Detritivore,16
Drosophila_simulans,Detritivore,13
Drosophila_subobscura,Detritivore,13
Drosophila_subpulchrella,Plants,12
Drosophila_sulfurigaster_albostrigata,Detritivore,13
Drosophila_suzukii,Plants,12
Drosophila_takahashii,Plants,18
Drosophila_teissieri,Plants,13
Drosophila_virilis,Detritivore,16
Drosophila_yakuba,Plants,12
Episyrphus_balteatus,Invertebrates,5
Eupeodes_corollae,Invertebrates,6
Glossina_fuscipes,Blood,1
Hermetia_illucens,Detritivore,54
Lucilia_cuprina,Detritivore,28
Lucilia_sericata,Detritivore,19
Lutzomyia_longipalpis,Blood,6
Malaya_genurostris,Blood,7
Musca_domestica,Detritivore,44
Musca_vetustissima,Detritivore,21
Ochlerotatus_camptorhynchus,Blood,6
Phlebotomus_argentipes,Blood,4
Phlebotomus_papatasi,Blood,5
Polypedilum_vanderplanki,Omnivore,9
Sabethes_cyaneus,Blood,11
Scaptodrosophila_lebanonensis,Detritivore,21
Sitodiplosis_mosellana,Plants,1
Stomoxys_calcitrans,Blood,30
Topomyia_yanbarensis,Blood,7
Toxorhynchites_rutilus_septentrionalis,Invertebrates,4
Uranotaenia_lowii,Blood,7
Wyeomyia_smithii,Blood,8
Zeugodacus_cucurbitae,Plants,17
Cloeon_dipterum,Plants,1
Neocloeon_triangulifer,Plants,1
Bemisia_tabaci,Plants,2
Cimex_lectularius,Blood,2
Homalodisca_vitripennis,Plants,2
