species,food_source,gene_count
Abscondita_terminalis,Invertebrates,7
Achroia_grisella,Plants,4
Acromyrmex_echinatior,Omnivore,5
Acyrthosiphon_pisum,Plants,3
Adelges_cooleyi,Plants,4
Aedes_aegypti,Blood,2
Aedes_albopictus,Blood,3
Aethina_tumida,Invertebrates,10
Agrilus_planipennis,Plants,2
Ampulex_compressa,Omnivore,1
Amyelois_transitella,Plants,4
Anabrus_simplex,Plants,8
Anastrepha_ludens,Plants,3
Anastrepha_obliqua,Plants,2
Anopheles_albimanus,Blood,3
Anopheles_aquasalis,Blood,2
Anopheles_arabiensis,Blood,2
Anopheles_bellator,Blood,2
Anopheles_coluzzii,Blood,2
Anopheles_coustani,Blood,2
Anopheles_cruzii,Blood,3
Anopheles_darlingi,Blood,2
Anopheles_funestus,Blood,2
Anopheles_gambiae,Blood,2
Anopheles_maculipalpis,Blood,3
Anopheles_merus,Blood,2
Anopheles_moucheti,Blood,2
Anopheles_nili,Blood,3
Anopheles_stephensi,Blood,3
Anopheles_ziemanni,Blood,2
Anoplophora_glabripennis,Plants,3
Anthonomus_grandis_grandis,Plants,2
Aphidius_gifuensis,Parasitoid,2
Aphis_craccivora,Plants,3
Aphis_gossypii,Plants,4
Apis_cerana,Plants,1
Apis_dorsata,Plants,1
Apis_florea,Plants,1
Apis_laboriosa,Plants,1
Apis_mellifera,Plants,1
Apolygus_lucorum,Plants,1
Arctia_plantaginis,Plants,4
Aricia_agestis,Plants,5
Armigeres_subalbatus,Blood,2
Athalia_rosae,Plants,1
Atta_cephalotes,Omnivore,4
Atta_colombica,Omnivore,5
Bacillus_rossius_redtenbacheri,Plants,10
Bactrocera_dorsalis,Plants,3
Bactrocera_latifrons,Plants,3
Bactrocera_tryoni,Plants,3
Belonocnema_kinseyi,Plants,2
Bemisia_tabaci,Plants,4
Bicyclus_anynana,Plants,2
Blattella_germanica,Detritivore,5
Bombus_affinis,Plants,2
Bombus_terrestris,Plants,2
Bombyx_mandarina,Plants,4
Bombyx_mori,Plants,5
Bradysia_coprophila,Detritivore,3
Brassicogethes_aeneus,Plants,9
Brenthis_ino,Plants,5
Calliphora_vicina,Detritivore,4
Camponotus_floridanus,Omnivore,1
Cataglyphis_hispanica,Invertebrates,3
Cephus_cinctus,Plants,1
Ceratina_calcarata,Plants,1
Ceratitis_capitata,Plants,3
Ceratosolen_solmsi_marchali,Plants,2
Chelonus_insularis,Parasitoid,1
Chilo_suppressalis,Plants,6
Chrysoperla_carnea,Invertebrates,1
Cimex_lectularius,Blood,4
Cloeon_dipterum,Plants,4
Clunio_marinus,Omnivore,2
Coccinella_septempunctata,Invertebrates,6
Colias_croceus,Plants,5
Colletes_gigas,Plants,1
Condylostylus_longicornis,Invertebrates,6
Contarinia_nasturtii,Plants,1
Copidosoma_floridanum,Parasitoid,2
Coptotermes_formosanus,Plants,4
Cotesia_glomerata,Parasitoid,4
Cryptotermes_secundus,Plants,8
Culex_pipiens_pallens,Blood,2
Culex_quinquefasciatus,Blood,3
Culicoides_brevitarsis,Blood,3
Cydia_pomonella,Plants,4
Cydia_splendana,Plants,5
Cylas_formicarius,Plants,3
Cyphomyrmex_costatus,Omnivore,2
Daktulosphaira_vitifoliae,Plants,4
Dalotia_coriaria,Invertebrates,2
Danaus_plexippus,Plants,8
Dendroctonus_ponderosae,Plants,1
Diabrotica_virgifera_virgifera,Plants,3
Diachasma_alloeum,Parasitoid,2
Diachasmimorpha_longicaudata,Parasitoid,2
Dinoponera_quadriceps,Invertebrates,1
Diorhabda_carinulata,Plants,2
Diorhabda_sublineata,Plants,4
Diprion_similis,Plants,1
Drosophila_albomicans,Detritivore,6
Drosophila_ananassae,Detritivore,5
Drosophila_arizonae,Detritivore,1
Drosophila_biarmipes,Plants,6
Drosophila_bipectinata,Detritivore,8
Drosophila_elegans,Plants,6
Drosophila_erecta,Plants,7
Drosophila_eugracilis,Plants,7
Drosophila_ficusphila,Plants,4
Drosophila_grimshawi,Detritivore,5
Drosophila_guanche,Detritivore,7
Drosophila_hydei,Detritivore,6
Drosophila_kikkawai,Detritivore,5
Drosophila_mauritiana,Plants,7
Drosophila_melanogaster,Detritivore,6
Drosophila_miranda,Detritivore,10
Drosophila_mojavensis,Detritivore,5
Drosophila_montana,Detritivore,7
Drosophila_nasuta,Detritivore,7
Drosophila_navojoa,Detritivore,5
Drosophila_novamexicana,Detritivore,8
Drosophila_obscura,Detritivore,7
Drosophila_persimilis,Detritivore,8
Drosophila_pseudoobscura,Detritivore,7
Drosophila_rhopaloa,Plants,5
Drosophila_sechellia,Plants,8
Drosophila_serrata,Detritivore,5
Drosophila_simulans,Detritivore,8
Drosophila_subobscura,Detritivore,7
Drosophila_subpulchrella,Plants,6
Drosophila_sulfurigaster_albostrigata,Detritivore,6
Drosophila_suzukii,Plants,5
Drosophila_takahashii,Plants,6
Drosophila_teissieri,Plants,7
Drosophila_virilis,Detritivore,6
Drosophila_yakuba,Plants,6
Dufourea_novaeangliae,Plants,1
Eciton_burchellii,Invertebrates,1
Episyrphus_balteatus,Invertebrates,9
Eriocheir_sinensis,Detritivore,4
Eufriesea_mexicana,Plants,1
Eupeodes_corollae,Invertebrates,6
Folsomia_candida,Omnivore,4
Fopius_arisanus,Parasitoid,1
Formica_exsecta,Omnivore,4
Frankliniella_occidentalis,Plants,6
Frieseomelitta_varia,Plants,4
Galleria_mellonella,Plants,6
Glossina_fuscipes,Blood,3
Gonioctena_quinquepunctata,Plants,2
Gryllus_longicercus,Plants,4
Halyomorpha_halys,Plants,3
Harmonia_axyridis,Invertebrates,7
Harpegnathos_saltator,Invertebrates,1
Helicoverpa_armigera,Plants,3
Helicoverpa_zea,Plants,4
Hermetia_illucens,Detritivore,1
Hetaerina_americana,Invertebrates,2
Homalodisca_vitripennis,Plants,10
Hylaeus_anthracinus,Plants,1
Hylaeus_volcanicus,Plants,1
Hyposmocoma_kahamanoa,Detritivore,7
Ignelater_luminosus,Invertebrates,6
Ischnura_elegans,Invertebrates,3
Lamprigera_yunnana,Invertebrates,8
Laodelphax_striatellus,Plants,11
Leguminivora_glycinivorella,Plants,5
Leptidea_sinapis,Plants,2
Leptinotarsa_decemlineata,Plants,2
