species,food_source,gene_count
Folsomia_candida,Omnivore,4
Procambarus_clarkii,Omnivore,4
Scylla_paramamosain,Detritivore,2
Eriocheir_sinensis,Detritivore,4
Ischnura_elegans,Invertebrates,3
Hetaerina_americana,Invertebrates,2
Cloeon_dipterum,Plants,2
Neocloeon_triangulifer,Plants,4
Anabrus_simplex,Plants,8
Gryllus_longicercus,Plants,4
Bacillus_rossius_redtenbacheri,Plants,6
Blattella_germanica,Detritivore,5
Periplaneta_americana,Detritivore,7
Zootermopsis_nevadensis,Plants,6
Coptotermes_formosanus,Plants,3
Cryptotermes_secundus,Plants,6
Frankliniella_occidentalis,Plants,6
Thrips_palmi,Plants,4
Homalodisca_vitripennis,Plants,8
Laodelphax_striatellus,Plants,9
Nilaparvata_lugens,Plants,15
Halyomorpha_halys,Plants,2
Rhodnius_prolixus,Blood,2
Apolygus_lucorum,Plants,1
Cimex_lectularius,Blood,4
Bemisia_tabaci,Plants,3
Planococcus_citri,Plants,4
Adelges_cooleyi,Plants,4
Daktulosphaira_vitifoliae,Plants,4
Sipha_flava,Plants,3
Acyrthosiphon_pisum,Plants,3
Myzus_persicae,Plants,3
Melanaphis_sacchari,Plants,3
Aphis_craccivora,Plants,3
Aphis_gossypii,Plants,4
Rhopalosiphum_maidis,Plants,3
Rhopalosiphum_padi,Plants,3
Pediculus_humanus_corporis,Blood,3
Athalia_rosae,Plants,1
Diprion_similis,Plants,1
Neodiprion_fabricii,Plants,1
Neodiprion_virginianus,Plants,1
Neodiprion_lecontei,Plants,1
Neodiprion_pinetum,Plants,1
Cephus_cinctus,Plants,1
Orussus_abietinus,Parasitoid,1
Belonocnema_kinseyi,Plants,2
Leptopilina_boulardi,Parasitoid,1
Leptopilina_heterotoma,Parasitoid,1
Trichogramma_pretiosum,Parasitoid,2
Copidosoma_floridanum,Parasitoid,2
Phymastichus_coffea,Parasitoid,1
Ceratosolen_solmsi_marchali,Plants,1
Nasonia_vitripennis,Parasitoid,1
Venturia_canescens,Parasitoid,1
Aphidius_gifuensis,Parasitoid,2
Fopius_arisanus,Parasitoid,1
Diachasma_alloeum,Parasitoid,2
Diachasmimorpha_longicaudata,Parasitoid,2
Chelonus_insularis,Parasitoid,1
Cotesia_glomerata,Parasitoid,4
Microplitis_demolitor,Parasitoid,1
Microplitis_mediator,Parasitoid,1
Polistes_dominula,Omnivore,1
Polistes_canadensis,Omnivore,1
Polistes_fuscatus,Omnivore,1
Vespula_pensylvanica,Omnivore,1
Vespula_vulgaris,Omnivore,1
Vespa_velutina,Omnivore,1
Vespa_crabro,Omnivore,1
Vespa_mandarinia,Omnivore,1
Ampulex_compressa,Omnivore,1
Colletes_gigas,Plants,1
Hylaeus_anthracinus,Plants,1
Hylaeus_volcanicus,Plants,1
Dufourea_novaeangliae,Plants,1
Megalopta_genalis,Plants,1
Nomia_melanderi,Plants,1
Megachile_rotundata,Plants,1
Osmia_bicornis_bicornis,Plants,1
Osmia_lignaria,Plants,2
Ceratina_calcarata,Plants,1
Eufriesea_mexicana,Plants,1
Bombus_affinis,Plants,1
Bombus_terrestris,Plants,1
Frieseomelitta_varia,Plants,3
Melipona_quadrifasciata,Plants,1
Apis_florea,Plants,1
Apis_cerana,Plants,1
Apis_mellifera,Plants,1
Apis_dorsata,Plants,1
Apis_laboriosa,Plants,1
Dinoponera_quadriceps,Invertebrates,1
Harpegnathos_saltator,Invertebrates,1
Odontomachus_brunneus,Invertebrates,1
Eciton_burchellii,Invertebrates,1
Ooceraea_biroi,Invertebrates,1
Linepithema_humile,Omnivore,1
Pseudomyrmex_gracilis,Omnivore,1
Nylanderia_fulva,Omnivore,1
Camponotus_floridanus,Omnivore,1
Cataglyphis_hispanica,Invertebrates,2
Formica_exsecta,Omnivore,3
Pogonomyrmex_barbatus,Plants,1
Vollenhovia_emeryi,Omnivore,3
Temnothorax_curvispinosus,Omnivore,3
Temnothorax_longispinosus,Omnivore,3
Monomorium_pharaonis,Omnivore,3
Solenopsis_invicta,Omnivore,3
Wasmannia_auropunctata,Omnivore,4
Cyphomyrmex_costatus,Omnivore,2
Trachymyrmex_septentrionalis,Omnivore,3
Acromyrmex_echinatior,Omnivore,3
Atta_cephalotes,Omnivore,3
Atta_colombica,Omnivore,3
Chrysoperla_carnea,Invertebrates,1
Agrilus_planipennis,Plants,2
Ignelater_luminosus,Invertebrates,6
Abscondita_terminalis,Invertebrates,5
Lamprigera_yunnana,Invertebrates,7
Photinus_pyralis,Invertebrates,7
Onthophagus_taurus,Detritivore,5
Dalotia_coriaria,Invertebrates,2
Nicrophorus_vespilloides,Detritivore,4
Tenebrio_molitor,Omnivore,10
Zophobas_morio,Omnivore,14
Tribolium_castaneum,Omnivore,4
Tribolium_madens,Omnivore,4
Coccinella_septempunctata,Invertebrates,5
Harmonia_axyridis,Invertebrates,6
Aethina_tumida,Invertebrates,8
Brassicogethes_aeneus,Plants,7
Cylas_formicarius,Plants,3
Anthonomus_grandis_grandis,Plants,1
Dendroctonus_ponderosae,Plants,1
Rhynchophorus_ferrugineus,Plants,2
Sitophilus_oryzae,Plants,3
Anoplophora_glabripennis,Plants,3
Gonioctena_quinquepunctata,Plants,2
Leptinotarsa_decemlineata,Plants,2
Diabrotica_virgifera_virgifera,Plants,3
Diorhabda_carinulata,Plants,2
Diorhabda_sublineata,Plants,4
Plutella_xylostella,Plants,1
Leguminivora_glycinivorella,Plants,4
Cydia_pomonella,Plants,3
Cydia_splendana,Plants,3
Hyposmocoma_kahamanoa,Detritivore,5
Pectinophora_gossypiella,Plants,3
Chilo_suppressalis,Plants,6
Ostrinia_furnacalis,Plants,4
Ostrinia_nubilalis,Plants,4
Achroia_grisella,Plants,4
Galleria_mellonella,Plants,6
Amyelois_transitella,Plants,3
Plodia_interpunctella,Plants,3
Manduca_sexta,Plants,5
Bombyx_mandarina,Plants,3
Bombyx_mori,Plants,3
Arctia_plantaginis,Plants,4
Trichoplusia_ni,Plants,3
Helicoverpa_armigera,Plants,3
Helicoverpa_zea,Plants,3
Spodoptera_frugiperda,Plants,3
Spodoptera_litura,Plants,3
Parnassius_apollo,Plants,6
Papilio_polytes,Plants,5
Papilio_machaon,Plants,3
Papilio_xuthus,Plants,3
Leptidea_sinapis,Plants,2
Colias_croceus,Plants,3
Zerene_cesonia,Plants,4
Pieris_rapae,Plants,4
Pieris_brassicae,Plants,5
Pieris_napi,Plants,4
Aricia_agestis,Plants,5
Danaus_plexippus,Plants,8
Bicyclus_anynana,Plants,2
Pararge_aegeria,Plants,3
Maniola_hyperantus,Plants,3
Maniola_jurtina,Plants,4
Brenthis_ino,Plants,3
Melitaea_cinxia,Plants,3
Nymphalis_io,Plants,3
Vanessa_cardui,Plants,3
Vanessa_atalanta,Plants,3
Vanessa_tameamea,Plants,4
Culicoides_brevitarsis,Blood,2
Clunio_marinus,Omnivore,1
Polypedilum_vanderplanki,Omnivore,2
Toxorhynchites_rutilus_septentrionalis,Invertebrates,2
Uranotaenia_lowii,Blood,2
Malaya_genurostris,Blood,2
Topomyia_yanbarensis,Blood,2
Sabethes_cyaneus,Blood,2
Wyeomyia_smithii,Blood,2
Culex_pipiens_pallens,Blood,2
Culex_quinquefasciatus,Blood,3
Ochlerotatus_camptorhynchus,Blood,1
Armigeres_subalbatus,Blood,2
Aedes_aegypti,Blood,2
Aedes_albopictus,Blood,2
Anopheles_coustani,Blood,2
Anopheles_ziemanni,Blood,2
Anopheles_bellator,Blood,1
Anopheles_cruzii,Blood,2
Anopheles_darlingi,Blood,2
Anopheles_albimanus,Blood,3
Anopheles_aquasalis,Blood,2
Anopheles_maculipalpis,Blood,3
Anopheles_stephensi,Blood,3
Anopheles_nili,Blood,3
Anopheles_funestus,Blood,2
Anopheles_moucheti,Blood,2
Anopheles_merus,Blood,2
Anopheles_arabiensis,Blood,2
Anopheles_coluzzii,Blood,2
Anopheles_gambiae,Blood,2
Lutzomyia_longipalpis,Blood,1
Phlebotomus_argentipes,Blood,1
Phlebotomus_papatasi,Blood,0
Bradysia_coprophila,Detritivore,3
Contarinia_nasturtii,Plants,1
Sitodiplosis_mosellana,Plants,1
Hermetia_illucens,Detritivore,1
Condylostylus_longicornis,Invertebrates,5
Episyrphus_balteatus,Invertebrates,8
Eupeodes_corollae,Invertebrates,4
