species	speciations	duplications	losses
Abscondita_terminalis	2	0	1
Achroia_grisella	3	0	1
Aedes_aegypti	6	0	2
Aedes_albopictus	7	0	1
Aethina_tumida	6	3	1
Agrilus_planipennis	3	1	1
Amyelois_transitella	3	0	1
Anabrus_simplex	3	0	3
Anastrepha_ludens	12	3	0
Anastrepha_obliqua	11	2	0
Anopheles_albimanus	3	0	0
Anopheles_aquasalis	3	0	0
Anopheles_arabiensis	5	0	1
Anopheles_bellator	2	0	0
Anopheles_coluzzii	4	0	1
Anopheles_coustani	2	0	0
Anopheles_cruzii	2	0	0
Anopheles_darlingi	3	0	1
Anopheles_funestus	4	0	1
Anopheles_gambiae	6	1	0
Anopheles_maculipalpis	7	1	1
Anopheles_merus	3	0	2
Anopheles_moucheti	5	1	1
Anopheles_nili	3	1	5
Anopheles_stephensi	5	0	2
Anopheles_ziemanni	2	0	0
Anoplophora_glabripennis	6	3	3
Anthonomus_grandis_grandis	4	0	1
Apolygus_lucorum	2	0	2
Arctia_plantaginis	7	4	2
Aricia_agestis	2	0	4
Armigeres_subalbatus	7	0	2
Athalia_rosae	3	1	1
Bacillus_rossius_redtenbacheri	3	0	5
Bactrocera_dorsalis	15	3	3
Bactrocera_latifrons	12	1	4
Bactrocera_tryoni	16	4	3
Bemisia_tabaci	2	1	0
Bicyclus_anynana	2	0	2
Blattella_germanica	5	1	5
Bombyx_mandarina	1	0	1
Bombyx_mori	2	0	0
Bradysia_coprophila	2	0	1
Brassicogethes_aeneus	3	0	1
Brenthis_ino	2	0	2
Calliphora_vicina	24	10	3
Cephus_cinctus	1	0	1
Ceratitis_capitata	13	3	5
Chelonus_insularis	1	0	0
Chilo_suppressalis	7	3	1
Chrysoperla_carnea	9	4	5
Cimex_lectularius	2	0	2
Cloeon_dipterum	1	0	0
Clunio_marinus	4	1	2
Coccinella_septempunctata	5	1	0
Colias_croceus	3	0	0
Condylostylus_longicornis	4	1	4
Contarinia_nasturtii	3	2	0
Coptotermes_formosanus	3	1	4
Cryptotermes_secundus	8	2	0
Culex_pipiens_pallens	2	0	1
Culex_quinquefasciatus	3	0	0
Culicoides_brevitarsis	1	0	4
Cydia_pomonella	4	0	0
Cydia_splendana	4	1	1
Cylas_formicarius	4	0	2
Dalotia_coriaria	4	2	1
Danaus_plexippus	2	0	4
Dendroctonus_ponderosae	2	0	3
Diabrotica_virgifera_virgifera	6	1	1
Diorhabda_carinulata	0	0	4
Diorhabda_sublineata	4	0	0
Diprion_similis	2	0	1
Drosophila_albomicans	12	1	2
Drosophila_ananassae	14	4	3
Drosophila_arizonae	11	2	2
Drosophila_biarmipes	13	3	5
Drosophila_bipectinata	14	3	2
Drosophila_elegans	10	1	5
Drosophila_erecta	12	2	6
Drosophila_eugracilis	14	2	10
Drosophila_ficusphila	12	2	13
Drosophila_grimshawi	11	1	9
Drosophila_guanche	13	4	2
Drosophila_hydei	17	5	4
Drosophila_kikkawai	22	10	2
Drosophila_mauritiana	12	2	3
Drosophila_melanogaster	11	0	8
Drosophila_miranda	19	6	1
Drosophila_mojavensis	13	4	2
Drosophila_montana	12	1	3
Drosophila_nasuta	11	1	3
Drosophila_navojoa	12	3	3
Drosophila_novamexicana	13	1	1
Drosophila_obscura	12	4	5
Drosophila_persimilis	16	3	1
Drosophila_pseudoobscura	14	2	2
Drosophila_rhopaloa	15	4	3
Drosophila_sechellia	10	0	3
Drosophila_serrata	16	3	1
Drosophila_simulans	13	2	2
Drosophila_subobscura	13	4	2
Drosophila_subpulchrella	12	3	1
Drosophila_sulfurigaster_albostrigata	13	1	1
Drosophila_suzukii	12	3	1
Drosophila_takahashii	15	2	6
Drosophila_teissieri	13	2	3
Drosophila_virilis	16	4	1
Drosophila_yakuba	12	1	3
Episyrphus_balteatus	5	0	0
Eriocheir_sinensis	0	0	1
Eupeodes_corollae	6	1	0
Folsomia_candida	3	1	4
Frankliniella_occidentalis	6	1	1
Galleria_mellonella	5	1	0
Glossina_fuscipes	1	0	10
Gonioctena_quinquepunctata	2	0	0
