species_label	speciations	duplications	losses
Abscondita_terminalis	5	0	1
Achroia_grisella	4	1	0
Acromyrmex_echinatior	3	0	0
Acyrthosiphon_pisum	3	0	0
Adelges_cooleyi	4	1	0
Aedes_aegypti	2	0	0
Aedes_albopictus	2	0	0
Aethina_tumida	8	2	2
Agrilus_planipennis	2	0	4
Ampulex_compressa	1	0	1
Amyelois_transitella	3	0	0
Anabrus_simplex	8	1	1
Anastrepha_ludens	2	0	0
Anastrepha_obliqua	2	0	0
Anopheles_albimanus	3	1	0
Anopheles_aquasalis	2	0	0
Anopheles_arabiensis	2	0	0
Anopheles_bellator	1	0	1
Anopheles_coluzzii	2	0	0
Anopheles_coustani	2	0	0
Anopheles_cruzii	2	0	0
Anopheles_darlingi	2	0	0
Anopheles_funestus	2	0	0
Anopheles_gambiae	2	0	0
Anopheles_maculipalpis	3	1	0
Anopheles_merus	2	0	0
Anopheles_moucheti	2	0	0
Anopheles_nili	3	1	0
Anopheles_stephensi	3	1	0
Anopheles_ziemanni	2	0	0
Anoplophora_glabripennis	3	0	1
Anthonomus_grandis_grandis	1	0	0
Aphidius_gifuensis	2	0	0
Aphis_craccivora	3	0	0
Aphis_gossypii	4	1	0
Apis_cerana	1	0	0
Apis_dorsata	1	0	0
Apis_florea	1	0	0
Apis_laboriosa	1	0	0
Apis_mellifera	1	0	0
Apolygus_lucorum	1	0	2
Arctia_plantaginis	4	1	3
Aricia_agestis	5	1	3
Armigeres_subalbatus	2	0	0
Athalia_rosae	1	0	0
Atta_cephalotes	3	0	0
Atta_colombica	3	0	0
Bacillus_rossius_redtenbacheri	6	0	1
Bactrocera_dorsalis	2	0	0
Bactrocera_latifrons	2	0	0
Bactrocera_tryoni	2	0	0
Belonocnema_kinseyi	2	0	0
Bemisia_tabaci	3	0	3
Bicyclus_anynana	2	0	1
Blattella_germanica	5	1	3
Bombus_affinis	1	0	0
Bombus_terrestris	1	0	0
Bombyx_mandarina	3	0	0
Bombyx_mori	3	0	0
Bradysia_coprophila	3	1	1
Brassicogethes_aeneus	7	1	2
Brenthis_ino	3	0	2
Calliphora_vicina	3	1	0
Camponotus_floridanus	1	0	3
Cataglyphis_hispanica	2	0	1
Cephus_cinctus	1	0	2
Ceratina_calcarata	1	0	0
Ceratitis_capitata	2	0	0
Ceratosolen_solmsi_marchali	1	0	0
Chelonus_insularis	1	0	0
Chilo_suppressalis	6	3	4
Chrysoperla_carnea	1	0	7
Cimex_lectularius	4	2	1
Cloeon_dipterum	2	0	1
Clunio_marinus	1	0	1
Coccinella_septempunctata	5	0	1
Colias_croceus	3	0	1
Colletes_gigas	1	0	0
Condylostylus_longicornis	5	2	2
Contarinia_nasturtii	1	0	0
Copidosoma_floridanum	2	0	0
Coptotermes_formosanus	3	0	2
Cotesia_glomerata	4	3	0
Cryptotermes_secundus	6	2	1
Culex_pipiens_pallens	2	0	0
Culex_quinquefasciatus	3	1	0
Culicoides_brevitarsis	2	0	2
Cydia_pomonella	3	0	0
Cydia_splendana	3	0	0
Cylas_formicarius	3	1	0
Cyphomyrmex_costatus	2	0	2
Daktulosphaira_vitifoliae	4	1	0
Dalotia_coriaria	2	0	1
Danaus_plexippus	8	4	3
Dendroctonus_ponderosae	1	0	0
Diabrotica_virgifera_virgifera	3	1	0
Diachasma_alloeum	2	0	0
Diachasmimorpha_longicaudata	2	0	0
Dinoponera_quadriceps	1	0	0
Diorhabda_carinulata	2	0	0
Diorhabda_sublineata	4	2	0
Diprion_similis	1	0	0
Drosophila_albomicans	6	0	0
Drosophila_ananassae	5	0	0
Drosophila_arizonae	1	0	4
Drosophila_biarmipes	5	0	2
Drosophila_bipectinata	6	1	0
Drosophila_elegans	4	0	3
Drosophila_erecta	6	1	0
Drosophila_eugracilis	5	0	2
Drosophila_ficusphila	4	0	6
Drosophila_grimshawi	5	0	2
Drosophila_guanche	6	0	0
Drosophila_hydei	4	0	2
Drosophila_kikkawai	5	1	2
Drosophila_mauritiana	5	0	0
Drosophila_melanogaster	5	0	1
Drosophila_miranda	9	3	0
Drosophila_mojavensis	5	0	0
Drosophila_montana	7	1	2
Drosophila_nasuta	6	0	0
Drosophila_navojoa	4	0	1
Drosophila_novamexicana	6	0	1
Drosophila_obscura	5	0	2
Drosophila_persimilis	5	0	0
Drosophila_pseudoobscura	5	0	0
Drosophila_rhopaloa	5	0	2
Drosophila_sechellia	5	0	0
Drosophila_serrata	5	0	1
Drosophila_simulans	5	0	0
Drosophila_subobscura	5	0	1
Drosophila_subpulchrella	4	0	1
Drosophila_sulfurigaster_albostrigata	6	0	0
Drosophila_suzukii	4	0	1
Drosophila_takahashii	5	0	3
Drosophila_teissieri	5	0	0
Drosophila_virilis	6	0	1
Drosophila_yakuba	5	0	0
Dufourea_novaeangliae	1	0	0
Eciton_burchellii	1	0	1
Episyrphus_balteatus	8	5	1
Eriocheir_sinensis	4	2	0
Eufriesea_mexicana	1	0	0
Eupeodes_corollae	4	1	1
Folsomia_candida	4	2	4
Fopius_arisanus	1	0	0
Formica_exsecta	3	1	1
Frankliniella_occidentalis	6	1	0
Frieseomelitta_varia	3	2	0
Galleria_mellonella	6	3	0
Glossina_fuscipes	3	1	1
Gonioctena_quinquepunctata	2	0	0
Gryllus_longicercus	4	0	4
Halyomorpha_halys	2	1	2
Harmonia_axyridis	6	0	0
Harpegnathos_saltator	1	0	0
Helicoverpa_armigera	3	0	0
Helicoverpa_zea	3	0	0
Hermetia_illucens	1	0	4
Hetaerina_americana	2	0	0
Homalodisca_vitripennis	8	3	3
Hylaeus_anthracinus	1	0	0
Hylaeus_volcanicus	1	0	0
Hyposmocoma_kahamanoa	5	2	1
Ignelater_luminosus	6	2	2
Ischnura_elegans	3	1	0
Lamprigera_yunnana	7	2	2
Laodelphax_striatellus	9	1	0
Leguminivora_glycinivorella	4	1	0
Leptidea_sinapis	2	0	2
Leptinotarsa_decemlineata	2	0	0
Leptopilina_boulardi	1	0	0
Leptopilina_heterotoma	1	0	0
Linepithema_humile	1	0	1
Lucilia_cuprina	2	0	0
Lucilia_sericata	3	1	0
Lutzomyia_longipalpis	1	0	0
Malaya_genurostris	2	0	0
Manduca_sexta	5	2	2
Maniola_hyperantus	3	0	1
Maniola_jurtina	4	0	0
Megachile_rotundata	1	0	0
Megalopta_genalis	1	0	0
Melanaphis_sacchari	3	0	0
Melipona_quadrifasciata	1	0	0
Melitaea_cinxia	3	0	1
Microplitis_demolitor	1	0	0
Microplitis_mediator	1	0	0
Monomorium_pharaonis	3	0	0
Musca_domestica	4	1	0
Musca_vetustissima	3	0	0
Myzus_persicae	3	0	0
Nasonia_vitripennis	1	0	0
Neocloeon_triangulifer	4	1	0
Neodiprion_fabricii	1	0	0
Neodiprion_lecontei	1	0	0
Neodiprion_pinetum	1	0	0
Neodiprion_virginianus	1	0	0
Nicrophorus_vespilloides	4	1	0
Nilaparvata_lugens	15	7	0
Node_Abscondita_terminalis_Lamprigera_yunnana_0	6	1	1
Node_Achroia_grisella_Amyelois_transitella_0	4	0	3
Node_Achroia_grisella_Galleria_mellonella_0	3	0	1
Node_Acromyrmex_echinatior_Atta_cephalotes_0	3	0	0
Node_Acyrthosiphon_pisum_Melanaphis_sacchari_0	3	0	1
Node_Acyrthosiphon_pisum_Myzus_persicae_0	3	0	0
Node_Adelges_cooleyi_Daktulosphaira_vitifoliae_0	3	0	2
Node_Adelges_cooleyi_Sipha_flava_0	5	0	1
Node_Aedes_aegypti_Aedes_albopictus_0	2	0	0
Node_Aethina_tumida_Brassicogethes_aeneus_0	8	0	0
Node_Aethina_tumida_Cylas_formicarius_0	8	0	4
Node_Agrilus_planipennis_Ignelater_luminosus_0	6	0	8
Node_Agrilus_planipennis_Onthophagus_taurus_0	14	7	1
Node_Ampulex_compressa_Colletes_gigas_0	2	0	0
Node_Ampulex_compressa_Harpegnathos_saltator_0	2	0	0
Node_Amyelois_transitella_Plodia_interpunctella_0	3	0	1
Node_Anabrus_simplex_Bacillus_rossius_redtenbacheri_0	8	0	3
Node_Anabrus_simplex_Frankliniella_occidentalis_0	11	2	0
Node_Anabrus_simplex_Gryllus_longicercus_0	8	2	2
Node_Anastrepha_ludens_Anastrepha_obliqua_0	2	0	0
Node_Anastrepha_ludens_Ceratitis_capitata_0	2	0	1
Node_Anastrepha_ludens_Glossina_fuscipes_0	3	0	1
Node_Anastrepha_ludens_Scaptodrosophila_lebanonensis_0	4	1	1
Node_Anopheles_albimanus_Anopheles_aquasalis_0	2	0	0
Node_Anopheles_arabiensis_Anopheles_coluzzii_0	2	0	0
Node_Anopheles_bellator_Anopheles_cruzii_0	2	0	0
Node_Anopheles_bellator_Anopheles_darlingi_0	2	0	1
Node_Anopheles_bellator_Anopheles_maculipalpis_0	3	0	0
Node_Anopheles_coluzzii_Anopheles_gambiae_0	2	0	0
Node_Anopheles_coustani_Anopheles_bellator_0	3	1	0
Node_Anopheles_coustani_Anopheles_ziemanni_0	2	0	1
Node_Anopheles_darlingi_Anopheles_albimanus_0	2	0	0
Node_Anopheles_funestus_Anopheles_moucheti_0	2	0	0
Node_Anopheles_maculipalpis_Anopheles_nili_0	2	0	1
Node_Anopheles_maculipalpis_Anopheles_stephensi_0	2	0	0
